O,H,L,C
16848.0,16848.0,16777.41,16777.5
16777.5,16777.5,16775.71,16775.72
16775.72,16800.0,16775.0,16800.0
16800.0,16820.0,16799.99,16801.65
16801.65,16829.99,16727.82,16729.98
16727.83,16727.83,16671.89,16725.09
16725.09,16725.09,16704.78,16725.01
16725.01,16800.0,16725.01,16791.98
16791.98,16799.5,16775.05,16778.0
16778.01,16796.77,16778.0,16796.73
16796.74,16796.77,16778.99,16796.0
16796.01,16796.01,16730.0,16730.0
16730.0,16730.0,16702.72,16705.01
16705.0,16784.49,16705.0,16742.7
16742.69,16746.96,16720.0,16720.0
16720.0,16720.0,16600.0,16610.7
16610.7,16725.02,16610.7,16713.79
16713.79,16800.0,16713.79,16799.97
16799.98,16819.54,16765.24,16809.99
16810.0,16849.89,16705.0,16828.62
16828.62,16899.98,16828.62,16899.98
16899.97,16900.0,16856.0,16868.99
16869.0,16894.96,16868.99,16879.98
16879.99,16879.99,16856.0,16878.98
16872.62,16872.62,16817.49,16844.13
16844.15,16844.15,16778.0,16796.43
16796.42,16796.42,16775.0,16784.6
16784.6,16825.8,16784.59,16825.8
16825.8,16825.8,16810.2,16825.01
16825.02,16872.59,16800.0,16839.99
16840.0,16850.0,16800.0,16800.0
16800.0,16800.01,16659.0,16701.0
16701.01,16701.01,16650.0,16650.0
16650.0,16709.21,16630.0,16709.2
16709.2,16709.21,16650.0,16650.0
16650.01,16698.99,16619.0,16619.0
16619.0,16630.55,16518.02,16540.09
16540.09,16599.0,16540.08,16590.0
16580.0,16592.97,16517.67,16570.0
16570.0,16668.61,16550.0,16639.37
16639.38,16700.0,16610.01,16700.0
16699.99,16710.0,16622.18,16635.92
16635.92,16718.87,16635.91,16703.06
16703.06,16780.01,16703.06,16743.9
16743.9,16763.99,16705.0,16763.99
16763.99,16779.0,16680.0,16687.93
16687.93,16687.93,16551.02,16603.38
16603.38,16603.39,16414.75,16572.61
16572.6,16599.95,16500.0,16576.99
16576.99,16665.0,16552.89,16656.01
16656.0,16659.99,16550.0,16561.96
16561.97,16600.0,16561.96,16599.01
16599.01,16602.0,16563.01,16571.39
16573.99,16573.99,16551.06,16551.2
16568.83,16568.83,16532.95,16546.01
16546.01,16629.66,16546.0,16601.0
16623.41,16629.74,16578.6,16590.01
16596.71,16625.0,16565.28,16590.39
16590.38,16605.0,16590.0,16599.11
16599.11,16685.0,16599.1,16685.0
16685.0,16737.65,16672.54,16737.65
16737.64,16750.0,16720.74,16720.74
16720.74,16748.91,16701.67,16734.93
16734.7,16734.7,16679.0,16710.0
16710.0,16748.7,16700.0,16731.98
16731.97,16749.0,16731.97,16748.95
16748.95,16748.96,16708.46,16708.47
16708.46,16708.47,16668.59,16668.6
16668.6,16693.78,16665.57,16665.6
16667.99,16680.0,16650.5,16650.51
16650.5,16650.5,16609.76,16609.76
16609.77,16609.77,16550.0,16575.01
16575.01,16600.0,16575.0,16595.11
16595.1,16649.57,16582.78,16649.0
16649.0,16650.0,16634.6,16650.0
16650.0,16650.0,16601.0,16649.98
16649.99,16649.99,16628.0,16637.08
16637.02,16637.02,16601.0,16601.01
16601.02,16620.67,16601.01,16620.67
16620.67,16620.67,16600.02,16600.02
16600.03,16600.03,16600.0,16600.0
16600.0,16600.01,16577.99,16577.99
16577.99,16588.0,16544.0,16583.99
16583.99,16588.01,16583.99,16588.0
