Date,O,H,L,C
1488844800,139.308,139.633,139.242,139.528
1488859200,139.531,139.611,139.364,139.427
1488873600,139.427,139.447,138.936,139.07
1488888000,139.071,139.219,138.79,139.084
1488902400,139.084,139.244,138.729,139.13
1488916800,139.13,139.18,138.993,138.995
1488931200,138.996,139.15,138.863,138.967
1488945600,138.967,138.978,138.672,138.81
1488960000,138.812,138.845,138.575,138.692
1488974400,138.691,139.518,138.438,139.45
1488988800,139.449,139.649,139.153,139.276
1489003200,139.277,139.316,139.041,139.076
1489017600,139.037,139.414,139.037,139.249
1489032000,139.248,139.292,139.089,139.237
1489046400,139.237,139.756,139.077,139.532
1489060800,139.532,140.032,139.183,139.898
1489075200,139.895,139.997,139.388,139.668
1489089600,139.668,140.021,139.667,139.785
1489104000,139.826,140.166,139.645,140.009
1489118400,140.007,140.333,139.982,140.33
1489132800,140.329,140.538,140.206,140.426
1489147200,140.427,140.486,139.646,140.377
1489161600,140.377,140.445,139.58,139.765
1489176000,139.765,139.825,139.508,139.66
1489363200,139.65,139.811,139.5,139.746
1489377600,139.746,139.875,139.669,139.733
1489392000,139.732,140.318,139.71,139.905
1489406400,139.905,140.351,139.743,140.283
1489420800,140.284,140.417,140.136,140.405
1489435200,140.405,140.492,140.294,140.326
1489449600,140.326,140.42,140.121,140.144
1489464000,140.142,140.236,140.064,140.171
1489478400,140.171,140.172,139.409,139.545
1489492800,139.538,139.661,139.268,139.322
1489507200,139.321,139.507,139.156,139.488
1489521600,139.488,139.559,139.359,139.456
1489536000,139.457,139.679,139.32,139.642
1489550400,139.642,139.786,139.545,139.786
1489564800,139.782,140.601,139.696,139.878
1489579200,139.88,140.057,139.639,139.993
1489593600,139.994,140.194,139.472,139.472
1489608000,139.788,139.808,139.107,139.43
1489622400,139.435,139.561,138.98,139.103
1489636800,139.101,139.199,138.931,138.976
1489651200,138.976,139.223,138.558,138.918
1489665600,138.925,140.184,138.903,139.916
1489680000,139.917,140.155,139.67,139.977
1489694400,139.977,140.136,139.871,140.024
1489708800,140.024,140.207,139.879,140.106
1489723200,140.107,140.176,140.048,140.08
1489737600,140.077,140.463,139.733,140.275
1489752000,140.279,140.378,139.586,139.738
1489766400,139.737,139.757,139.155,139.616
1489780800,139.615,139.769,139.583,139.616
1489968000,139.483,139.699,139.354,139.403
1489982400,139.403,139.591,139.302,139.564
1489996800,139.565,140.106,139.501,140.018
1490011200,140.016,140.143,139.523,139.599
1490025600,139.597,139.803,138.891,138.947
1490040000,138.947,139.13,138.929,139.02
1490054400,139.024,139.387,138.925,139.358
1490068800,139.358,139.437,139.252,139.287
1490083200,139.287,140.411,139.138,140.277
1490097600,140.279,140.407,140.079,140.19
1490112000,140.19,140.202,139.365,139.413
1490126400,139.413,139.741,139.279,139.419
1490140800,139.417,139.492,138.996,139.272
1490155200,139.273,139.368,139.04,139.128
1490169600,139.129,139.345,138.462,138.748
1490184000,138.747,138.793,138.006,138.017
1490198400,138.017,138.672,137.757,138.229
1490212800,138.231,138.877,138.231,138.831
1490227200,138.831,139.286,138.716,139.144
1490241600,139.142,139.226,138.935,139.087
1490256000,139.087,139.228,138.384,138.642
1490270400,138.643,139.005,138.298,138.89
1490284800,138.892,139.326,138.816,138.97
1490299200,138.971,139.072,138.613,138.901
1490313600,138.901,139.141,138.738,139.015
1490328000,139.015,139.158,138.889,139.102
1490342400,139.101,139.13,138.693,138.844
1490356800,138.843,138.903,138.498,138.764
1490371200,138.766,138.841,138.392,138.534
1490385600,138.535,139.009,138.308,138.74
1490572800,138.537,138.736,138.089,138.1
1490587200,138.102,138.369,138.044,138.321
1490601600,138.321,138.67,138.109,138.655
1490616000,138.657,139.037,138.589,138.807
1490630400,138.807,139.105,138.661,138.915
1490644800,138.915,139.069,138.851,138.966
1490659200,138.951,139.215,138.851,139.01
1490673600,139.014,139.067,138.876,138.965
1490688000,138.965,139.396,138.795,139.357
1490702400,139.357,139.382,138.38,138.532
1490716800,138.532,138.543,138.043,138.101
1490731200,138.095,138.452,138.086,138.333
1490745600,138.257,138.508,137.592,137.885
1490760000,137.885,138.168,137.776,137.959
1490774400,137.959,138.261,137.646,138.096
1490788800,138.093,138.347,137.516,137.626
1490803200,137.625,138.042,137.565,137.801
1490817600,137.799,138.196,137.777,138.051
1490832000,138.022,138.521,137.994,138.476
1490846400,138.475,138.717,138.376,138.408
1490860800,138.408,138.412,137.746,137.815
1490875200,137.813,138.759,137.794,138.738
1490889600,138.738,139.3,138.701,138.947
1490904000,138.947,139.602,138.914,139.51
1490918400,139.481,139.998,139.357,139.941
1490932800,139.947,140.09,139.771,139.846
1490947200,139.846,139.909,139.151,139.282
1490961600,139.279,139.829,139.163,139.512
1490976000,139.513,139.792,138.975,139.596
1490990400,139.6,139.864,139.425,139.752
1491177600,139.669,139.848,139.37,139.553
1491192000,139.552,139.722,139.503,139.636
1491206400,139.637,139.902,139.23,139.313
1491220800,139.316,139.562,138.941,139.117
1491235200,139.118,139.379,138.339,138.502
1491249600,138.503,138.536,138.302,138.409
1491264000,138.411,138.489,138.112,138.179
1491278400,138.179,138.277,137.619,137.786
1491292800,137.789,137.848,137.214,137.431
1491307200,137.432,137.709,137.087,137.378
1491321600,137.381,137.924,137.316,137.612
1491336000,137.614,137.869,137.569,137.712
1491350400,137.721,137.995,137.636,137.786
1491364800,137.788,137.895,137.559,137.702
1491379200,137.701,138.271,137.453,138.128
1491393600,138.127,138.845,138.127,138.709
1491408000,138.712,139.042,138.603,138.756
1491422400,138.758,138.852,138.114,138.178
1491436800,138.168,138.207,137.757,137.919
1491451200,137.919,138.073,137.716,137.989
1491465600,137.987,138.109,137.789,137.993
1491480000,137.996,138.364,137.886,138.134
1491494400,138.14,138.714,138.015,138.332
1491508800,138.332,138.412,138.032,138.13
1491523200,138.123,138.338,138.045,138.193
1491537600,138.193,138.214,137.293,137.812
1491552000,137.812,137.999,137.411,137.575
1491566400,137.576,137.739,136.912,137.2
