O,H,L,C
16928.99,16929.0,16809.0,16892.11
16888.11,16888.11,16022.0,16050.0
16050.0,16500.0,16050.0,16313.02
16313.02,16400.0,16300.0,16315.01
16315.01,16336.62,15700.0,16251.0
16228.0,16250.0,15851.3,15930.0
15930.0,15930.0,15305.0,15375.0
15375.0,15950.0,15375.0,15770.01
15770.0,16300.0,15666.37,16040.06
16242.99,16499.0,16003.0,16115.16
16190.05,16249.0,16115.0,16160.02
16160.02,16189.53,15850.0,15860.0
15864.92,16198.0,15850.0,16044.99
16044.99,16200.0,16009.01,16023.12
16020.06,16110.6,15901.0,15935.01
15935.0,16000.0,15735.01,15925.01
15925.01,15984.0,15905.0,15940.17
15939.07,16099.0,15930.0,16069.5
16069.53,16103.07,16010.0,16050.42
16054.09,16149.0,16054.0,16129.97
16129.97,16387.97,16129.97,16320.07
16320.08,16397.99,16201.0,16245.0
16244.99,16330.0,16230.0,16275.06
16275.07,16474.99,16275.06,16466.32
16466.32,16468.0,16375.0,16467.9
16467.9,16467.9,16346.69,16419.0
16418.99,16575.0,16418.99,16544.86
16539.82,16780.0,16495.44,16778.34
16778.36,16890.0,16715.68,16870.87
16874.99,16889.0,16750.09,16799.01
16799.01,16880.0,16502.0,16747.01
16747.01,16875.0,16682.92,16750.0
16755.47,16825.0,16752.5,16824.99
16824.99,16825.0,16700.12,16710.0
16710.0,16740.77,16562.4,16709.98
16709.98,16800.0,16700.0,16749.99
16749.99,16822.3,16749.99,16819.0
16819.0,16900.0,16818.99,16900.0
16900.0,16925.0,16801.0,16829.98
16829.97,16996.0,16829.97,16996.0
16995.99,17225.0,16995.99,17225.0
17228.0,17240.0,16989.0,17070.0
17070.0,17094.0,17065.0,17094.0
17090.2,17221.0,17090.0,17213.45
17213.45,17213.5,17053.0,17200.0
17200.0,17208.0,17013.46,17050.89
17050.89,17143.65,17023.7,17095.3
17095.3,17194.84,17095.29,17192.0
17192.99,17192.99,17100.03,17110.0
17110.0,17110.0,16800.0,16879.99
16878.98,17068.0,16845.85,17000.04
17000.03,17098.0,16995.0,17097.99
17097.99,17098.0,17049.0,17086.76
17086.75,17089.99,17083.32,17089.99
17089.99,17089.99,17038.48,17088.5
